,STATE,ZIPCODE,NUMBER OF RETURNS,NUMBER OF RETURNS WITH TOTAL INCOME,TOTAL INCOME AMOUNT,NUMBER OF RETURNS WITH SALARIES AND WAGES,SALARIES AND WAGES AMOUNT
19629,ND,58258,140,140,7948,130,6478
19630,ND,58259,210,210,10633,150,6605
19631,ND,58261,520,520,32371,460,20573
19632,ND,58265,210,210,14665,190,8498
19633,ND,58267,680,680,46644,550,26188
19634,ND,58270,930,930,62111,780,37856
19635,ND,58271,340,340,22687,290,15734
19636,ND,58272,120,120,5820,100,4105
19637,ND,58273,120,120,6366,80,3315
19638,ND,58274,460,460,28624,380,18053
19639,ND,58275,400,400,27170,350,18301
19640,ND,58276,250,250,15205,220,9069
19641,ND,58278,990,990,86779,860,59840
19642,ND,58282,650,650,46184,540,20159
19643,ND,58301,4900,4900,287413,4130,189940
19644,ND,58316,2310,2310,91752,2150,77330
19645,ND,58317,110,110,5627,60,1902
19646,ND,58318,1810,1810,121351,1420,65790
19647,ND,58324,710,710,40276,560,22659
19648,ND,58327,150,150,11816,130,6068
19649,ND,58329,1080,1080,40136,970,32248
19650,ND,58330,150,150,10382,100,2982
19651,ND,58332,140,140,6695,90,2895
19652,ND,58335,550,550,15558,530,13618
19653,ND,58341,1210,1210,67672,950,41282
19654,ND,58344,460,460,32167,370,15649
19655,ND,58346,330,330,19741,270,11647
19656,ND,58348,370,370,21256,280,9955
19657,ND,58351,200,200,10214,170,5680
19658,ND,58352,190,190,14788,120,3680
19659,ND,58356,850,850,50600,700,28351
19660,ND,58357,100,110,4734,80,2296
19661,ND,58365,150,150,8649,100,3765
19662,ND,58366,430,430,24304,360,14426
19663,ND,58367,850,850,51822,710,30581
19664,ND,58368,1660,1660,97361,1310,57354
19665,ND,58369,410,410,20499,360,13887
19666,ND,58370,370,370,11519,350,9753
19667,ND,58374,240,240,13804,190,7505
19668,ND,58377,130,130,8280,100,3096
19669,ND,58380,210,210,11621,150,5684
19670,ND,58381,150,150,10748,120,4595
19671,ND,58384,270,270,13921,210,7601
19672,ND,58401,8180,8180,500208,7060,340510
19673,ND,58402,370,370,35456,270,12334
19674,ND,58413,520,520,26420,380,13312
19675,ND,58416,210,210,12003,140,4192
19676,ND,58418,180,180,11258,140,4022
19677,ND,58420,150,150,10004,120,5896
19678,ND,58421,1380,1380,93400,1130,56840
19679,ND,58424,130,130,7125,80,3796
19680,ND,58425,680,680,39978,550,22115
19681,ND,58428,110,110,7149,90,3522
19682,ND,58429,120,120,6936,80,3155
19683,ND,58433,540,540,32246,380,16543
19684,ND,58436,770,770,40992,660,24247
19685,ND,58438,340,340,24330,270,10779
19686,ND,58441,230,230,12900,100,3166
19687,ND,58442,190,190,9942,140,4811
19688,ND,58448,150,150,10179,130,4323
19689,ND,58454,150,150,8915,100,3809
19690,ND,58455,130,130,9168,100,4377
19691,ND,58456,270,270,17540,190,7607
19692,ND,58458,530,530,35496,440,19342
19693,ND,58460,90,90,3835,60,1698
19694,ND,58461,220,220,14849,160,6201
19695,ND,58463,280,280,13044,200,6971
19696,ND,58464,120,120,5517,90,2601
19697,ND,58466,160,160,12490,130,4632
19698,ND,58467,270,280,12260,210,8198
19699,ND,58472,200,200,13505,160,6543
19700,ND,58474,1270,1270,79358,1060,46065
19701,ND,58476,110,110,10820,80,3745
19702,ND,58479,100,100,6160,70,2866
19703,ND,58480,180,180,9494,150,6238
19704,ND,58481,120,120,7748,100,4219
19705,ND,58482,470,470,30204,390,16291
19706,ND,58483,120,120,5880,100,3553
19707,ND,58486,140,140,7248,100,3656
19708,ND,58487,200,200,11603,140,5815
19709,ND,58488,90,90,4538,60,1629
19710,ND,58490,130,130,9245,90,3558
19711,ND,58492,230,230,16170,180,7641
19712,ND,58494,140,140,6238,120,4024
19713,ND,58495,610,610,35486,470,18260
19714,ND,58497,150,150,10825,140,6110
19715,ND,58501,13970,13970,845543,12040,597515
19716,ND,58503,16480,16480,1522519,14030,1042644
19717,ND,58504,13010,13010,918199,11650,676253
19718,ND,58520,120,120,6471,90,3846
19719,ND,58521,340,340,26726,280,16825
19720,ND,58523,1690,1690,128186,1390,91949
19721,ND,58528,170,170,3937,170,3353
19722,ND,58529,240,240,11966,170,6328
19723,ND,58530,550,550,37190,440,24350
19724,ND,58531,210,210,16480,140,8454
19725,ND,58532,130,130,6581,90,3696
19726,ND,58533,380,380,20016,280,10576
19727,ND,58535,230,230,12218,170,7267
19728,ND,58538,860,860,30219,810,25735
19729,ND,58540,1250,1250,77232,990,47400
19730,ND,58541,170,170,11641,140,7607
19731,ND,58542,110,110,5640,70,2239
19732,ND,58544,210,210,14909,160,6666
19733,ND,58545,1720,1720,132210,1420,92569
19734,ND,58552,770,770,42630,610,25244
19735,ND,58554,13140,13140,869311,11620,641292
19736,ND,58558,470,470,34089,410,23839
19737,ND,58559,110,110,7594,80,3965
19738,ND,58561,460,460,26052,350,12777
19739,ND,58562,180,180,9600,150,5331
19740,ND,58563,920,920,56159,750,37325
19741,ND,58565,130,130,9725,100,5722
19742,ND,58568,150,150,5951,130,4523
19743,ND,58570,140,140,6105,130,4834
19744,ND,58571,270,270,16994,200,11053
19745,ND,58572,170,170,10190,140,6151
19746,ND,58573,270,270,12595,200,6888
19747,ND,58575,470,470,26202,380,18259
19748,ND,58576,450,450,31428,360,19046
19749,ND,58577,930,930,63555,740,44692
19750,ND,58579,630,630,42723,510,26364
19751,ND,58580,210,210,15369,170,9790
19752,ND,58581,120,120,4650,80,2201
19753,ND,58601,12590,12590,917996,11140,680412
19754,ND,58621,580,580,39319,460,24002
19755,ND,58622,840,840,59865,710,40197
19756,ND,58623,1130,1130,79636,940,45944
19757,ND,58626,160,160,10432,140,6148
19758,ND,58630,270,270,19028,230,13014
19759,ND,58631,530,530,30720,410,19888
19760,ND,58634,140,140,12463,110,6907
19761,ND,58636,290,290,17783,240,11250
19762,ND,58638,460,460,28642,380,17081
19763,ND,58639,910,910,52493,740,35251
19764,ND,58640,840,840,76801,670,39493
19765,ND,58642,150,150,9993,100,5576
19766,ND,58645,190,190,12306,150,8025
19767,ND,58646,490,490,32782,370,15571
19768,ND,58647,500,500,32586,400,18767
19769,ND,58649,140,140,7235,110,3940
19770,ND,58650,150,150,9658,120,4079
19771,ND,58651,200,200,14051,160,5757
19772,ND,58652,490,490,32000,420,21487
19773,ND,58653,260,260,17589,200,9171
19774,ND,58654,110,110,5563,80,2758
19775,ND,58655,290,290,20446,250,14809
19776,ND,58656,230,230,16014,190,11173
19777,ND,58701,15090,15090,1046701,13040,720863
19778,ND,58703,10630,10630,660470,9680,507786
19779,ND,58704,1410,1410,66678,1420,65634
19780,ND,58705,680,680,15305,680,15162
19781,ND,58710,200,200,12796,170,7311
19782,ND,58718,550,550,37403,440,24619
19783,ND,58721,240,240,17580,200,10354
19784,ND,58722,790,790,53322,690,39934
19785,ND,58723,90,90,4939,60,2119
19786,ND,58725,160,160,9064,140,5660
19787,ND,58727,140,140,7581,110,5141
19788,ND,58730,670,670,48134,520,27318
19789,ND,58731,130,130,7270,110,4630
19790,ND,58733,210,210,13354,170,9669
19791,ND,58734,130,130,8201,100,3975
19792,ND,58735,180,180,10478,140,6230
19793,ND,58736,200,200,9388,160,6342
19794,ND,58740,360,360,23182,320,15941
19795,ND,58741,300,300,15654,240,11788
19796,ND,58746,750,750,54545,580,28329
19797,ND,58750,240,240,15118,200,9136
19798,ND,58752,120,120,9323,100,5919
19799,ND,58756,120,120,8339,100,5545
19800,ND,58757,210,210,10961,190,8059
19801,ND,58759,350,350,21995,300,14640
19802,ND,58760,110,110,6127,100,4061
19803,ND,58761,540,540,35149,410,19811
19804,ND,58762,90,90,6096,80,3060
19805,ND,58763,1780,1780,138729,1560,77047
19806,ND,58765,160,160,8051,110,5165
19807,ND,58768,140,140,9993,100,5493
19808,ND,58769,130,130,13057,100,4281
19809,ND,58770,590,590,47333,520,26243
19810,ND,58771,240,240,16749,190,9548
19811,ND,58773,380,380,29933,290,16909
19812,ND,58776,160,160,17764,110,5773
19813,ND,58779,190,190,13451,130,5830
19814,ND,58781,340,340,21198,300,14986
19815,ND,58782,190,190,11602,160,6594
19816,ND,58783,160,160,9264,120,4081
19817,ND,58784,1330,1330,118798,1120,74453
19818,ND,58785,690,690,48837,630,39312
19819,ND,58788,510,510,28143,400,16728
19820,ND,58789,160,160,8396,130,5452
19821,ND,58790,810,810,54449,690,37890
19822,ND,58792,110,110,6048,80,3840
19823,ND,58793,290,290,23711,250,10941
19824,ND,58795,120,120,8546,80,3167
19825,ND,58801,12850,12850,1026099,11690,749208
19826,ND,58830,110,110,10496,70,3269
19827,ND,58831,400,400,37614,320,21034
19828,ND,58835,310,310,31221,250,15551
19829,ND,58838,110,110,9486,70,3480
19830,ND,58843,240,240,22727,220,14795
19831,ND,58845,170,170,11657,130,5661
19832,ND,58847,110,110,23954,80,3989
19833,ND,58849,560,560,47457,450,27561
19834,ND,58852,1190,1190,106771,1000,72047
19835,ND,58853,240,240,12896,220,11407
19836,ND,58854,3350,3350,341229,3010,205586
19839,OH,43001,1310,1310,94317,1070,68016
19840,OH,43003,1340,1340,67273,1130,51660
19841,OH,43004,13350,13350,1050334,12080,800082
19842,OH,43005,100,100,4413,90,2877
19843,OH,43006,300,300,10382,230,7713
19844,OH,43008,1100,1100,43265,970,31491
19845,OH,43009,900,900,50121,750,39159
19846,OH,43010,150,150,6504,130,5230
19847,OH,43011,3560,3560,210988,3010,159824
19848,OH,43013,570,570,32093,480,24575
19849,OH,43014,1520,1520,65798,1150,44588
19850,OH,43015,25020,25020,1960213,21230,1384081
19851,OH,43016,21000,21000,2119869,18760,1602147
19852,OH,43017,19750,19750,2635775,16980,1744514
19853,OH,43019,4040,4040,212211,3190,142343
19854,OH,43021,5950,5950,800444,5130,592252
19855,OH,43022,1180,1180,83886,890,47952
19856,OH,43023,5740,5740,678512,4530,421686
19857,OH,43025,2820,2820,189578,2280,120060
19858,OH,43026,30320,30320,2235572,26930,1758915
19859,OH,43028,3450,3450,201269,2690,133487
19860,OH,43029,270,270,13229,220,10007
19861,OH,43031,6380,6380,406122,5370,307302
19862,OH,43033,180,180,6790,140,5009
19863,OH,43035,13530,13530,1319822,12270,1081243
19864,OH,43036,120,120,4653,100,3569
19865,OH,43037,180,180,6368,150,4621
19866,OH,43040,15410,15410,1008320,13530,806317
19867,OH,43044,2460,2460,129781,2060,99341
19868,OH,43045,940,940,61077,800,42758
19869,OH,43046,1590,1590,107272,1250,64715
19870,OH,43050,13140,13140,666688,10700,459396
19871,OH,43054,12390,12390,2507954,10860,1531139
19872,OH,43055,28060,28060,1282911,23600,953439
19873,OH,43056,8650,8650,449503,7140,331092
19874,OH,43060,1240,1240,60629,1050,45632
19875,OH,43061,2130,2130,167355,1800,123181
19876,OH,43062,14470,14470,926249,12340,709648
19877,OH,43064,6780,6780,605648,5680,425759
19878,OH,43065,20350,20350,2716446,17290,1854535
19879,OH,43066,620,620,39647,530,28566
19880,OH,43067,780,780,45463,650,35710
19881,OH,43068,28250,28250,1336661,24700,1067634
19882,OH,43071,1100,1100,55663,920,43069
19883,OH,43072,2620,2620,136835,2160,103683
19884,OH,43074,6350,6350,491586,5350,364198
19885,OH,43076,4360,4360,269815,3600,183734
19886,OH,43077,130,130,5784,120,4837
19887,OH,43078,9640,9640,456788,8000,328432
19888,OH,43080,2440,2440,121404,2030,88008
19889,OH,43081,31500,31500,2075993,27200,1600291
19890,OH,43082,15690,15690,1940213,12870,1307700
19891,OH,43084,410,410,22402,360,16352
19892,OH,43085,13030,13030,1124789,10780,777657
19893,OH,43101,140,140,5434,110,4291
19894,OH,43102,2140,2140,120716,1810,87589
19895,OH,43103,5460,5460,302869,4640,230993
19896,OH,43105,4130,4130,258471,3390,186672
19897,OH,43106,730,730,30846,630,24229
19898,OH,43107,1480,1480,74611,1270,56011
19899,OH,43109,190,190,7422,170,5954
19900,OH,43110,18690,18690,1057742,16470,826047
19901,OH,43112,2390,2390,177415,1920,120953
19902,OH,43113,10800,10800,571868,8670,379150
19903,OH,43115,560,560,27090,470,18821
19904,OH,43116,960,960,64820,890,55282
19905,OH,43119,14520,14520,765699,13040,628633
19906,OH,43123,32560,32560,1925581,28120,1493073
19907,OH,43125,7030,7030,351340,5920,259339
19908,OH,43126,190,190,7679,150,5698
19909,OH,43128,1080,1080,44410,920,33604
19910,OH,43130,26940,26940,1363562,22240,972368
19911,OH,43135,1860,1860,86483,1550,63973
19912,OH,43136,830,830,49473,700,39973
19913,OH,43137,1180,1180,62154,1020,46189
19914,OH,43138,7940,7940,346029,6580,255540
19915,OH,43140,9490,9490,549853,7940,381523
19916,OH,43143,2730,2730,142200,2300,104853
19917,OH,43144,190,190,6451,160,5233
19918,OH,43145,860,860,42361,710,29813
19919,OH,43146,4390,4390,272206,3700,208014
19920,OH,43147,20350,20350,1550708,17630,1184455
19921,OH,43148,980,980,50794,820,38723
19922,OH,43149,1160,1160,63635,950,45292
19923,OH,43150,1060,1060,55513,900,43128
19924,OH,43151,140,140,5588,120,4343
19925,OH,43152,390,390,14702,300,10214
19926,OH,43153,420,420,19375,350,13817
19927,OH,43154,1450,1450,79505,1230,58533
19928,OH,43155,1190,1190,67011,960,47133
19929,OH,43156,120,120,4582,110,3579
19930,OH,43157,250,250,8069,210,6943
19931,OH,43158,140,140,4952,110,3793
19932,OH,43160,10240,10240,452072,8690,320249
19933,OH,43162,3490,3490,183824,2910,136118
19934,OH,43164,1070,1070,53351,920,38962
19935,OH,43201,12260,12260,573739,11550,473484
19936,OH,43202,10210,10210,462018,9290,383331
19937,OH,43203,3450,3450,114021,3110,91121
19938,OH,43204,19260,19260,754396,16720,591433
19939,OH,43205,5640,5640,199555,5090,165980
19940,OH,43206,11620,11620,734195,10320,568418
19941,OH,43207,21320,21320,757321,18450,617974
19942,OH,43209,13160,13160,1343784,10750,781663
19943,OH,43210,510,510,10528,500,9429
19944,OH,43211,8970,8970,211295,7820,171497
19945,OH,43212,12340,12340,1064406,10960,747093
19946,OH,43213,16840,16840,657405,14410,484814
19947,OH,43214,14800,14800,1087034,12070,749392
19948,OH,43215,9310,9310,1035591,8460,608923
19949,OH,43217,1040,1040,29787,1000,27915
19950,OH,43219,13170,13170,510336,11130,361144
19951,OH,43220,14360,14360,1403576,11790,859145
19952,OH,43221,17340,17340,2196656,14460,1353309
19953,OH,43222,1600,1600,36879,1380,30904
19954,OH,43223,10540,10540,310818,9160,256096
19955,OH,43224,20480,20480,637485,17800,521390
19956,OH,43227,11670,11670,356667,10150,280133
19957,OH,43228,26160,26160,1037842,23060,857567
19958,OH,43229,25660,25660,926687,22510,739927
19959,OH,43230,29690,29690,1999770,25690,1501649
19960,OH,43231,10550,10550,424007,9140,337621
19961,OH,43232,21480,21480,703520,19270,586307
19962,OH,43235,22600,22600,1763121,19160,1222146
19963,OH,43240,2950,2950,189393,2700,166956
19964,OH,43302,21810,21810,963507,18400,695863
19965,OH,43310,1570,1570,87682,1230,57456
19966,OH,43311,9500,9500,474382,8160,338061
19967,OH,43314,1370,1370,67517,1140,50914
19968,OH,43315,3260,3260,160494,2800,123951
